Atividade;Produto;Categoria;Módulo;Data Início;Data Fim;Observação
Prazo para análise de aproveitamento - Veteranos;Profissionalizantes;Aproveitamento de Estudos;2026-74;26/09/2026;26/09/2026;
Prazo para ajustes na secretaria - Aproveitamento - Veteranos;Profissionalizantes;Aproveitamento de Estudos;2026-74;29/09/2026;29/09/2026;
Prazo para análise de aproveitamento - Candidatos Ingressantes;Profissionalizantes;Aproveitamento de Estudos;2026-74;17/10/2026;17/10/2026;
Prazo para análise de aproveitamento - Ingressantes;Profissionalizantes;Aproveitamento de Estudos;2026-74;17/10/2026;17/10/2026;
Fechamento de Período e Rematrícula (módulo subsequente*);Profissionalizantes;Fechamento de Período e Rematrícula;2026-74;01/12/2026;10/12/2026;
Ação Rematrícula** (Ajustes DP/ADAP);Profissionalizantes;Fechamento de Período e Rematrícula;2026-74;11/12/2026;12/12/2026;
Liberação de base no Portal de Negociações (Cobrança);Profissionalizantes;Fechamento de Período e Rematrícula;2026-74;11/12/2026;11/12/2026;
Ação Rematrícula** (Alunos sem matrícula e adimplentes);Profissionalizantes;Fechamento de Período e Rematrícula;2026-74;13/12/2026;14/12/2026;
Lançamento de notas;Profissionalizantes;Lançamento de notas;2026-74;30/11/2026;30/11/2026;
Processo de Evasão;Profissionalizantes;Outras rotinas;2026-74;;;
Abertura de turmas (rotina da Secretaria);Profissionalizantes;Outros serviços atendidos pela Secretaria;2026-74;;;
Solicitação de Alteração de matrizes;Profissionalizantes;Outros serviços atendidos pela Secretaria;2026-74;;;
Período de Captação;Profissionalizantes;Período letivo;2026-74;18/08/2026;19/10/2026;
Período letivo;Profissionalizantes;Período letivo;2026-74;28/09/2026;28/11/2026;
Desplug (Reativa);Profissionalizantes;Políticas Preditivas e de Retenção;2026-74;;;
Recomeço (Preditiva);Profissionalizantes;Políticas Preditivas e de Retenção;2026-74;;;
Recomeço (Reativa);Profissionalizantes;Políticas Preditivas e de Retenção;2026-74;;;
Redesplug (Preditiva);Profissionalizantes;Políticas Preditivas e de Retenção;2026-74;;;
Rematrícula automática do módulo;Profissionalizantes;Rematrícula automática;2026-74;28/09/2026;23/10/2026;
Prazo para negociação (entrada no módulo com boleto D+2);Profissionalizantes;Rematrícula automática;2026-74;16/03/2026;16/03/2026;
Solicitação de Mudança de Curso - Demais Cursos;Profissionalizantes;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-74;05/08/2026;13/10/2026;
Solicitação de Reabertura de Matrícula - Inadimplentes;Profissionalizantes;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-74;05/08/2026;14/10/2026;
Solicitação de Reabertura de Matrícula - Adimplentes;Profissionalizantes;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-74;18/08/2026;19/10/2026;
Prazo para ajustes na secretaria - Reabertura;Profissionalizantes;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-74;23/10/2026;23/10/2026;
Solicitação de Cancelamento de DP/ADAP;Profissionalizantes;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-74;;;
Solicitação de Aproveitamento de Estudos - Veteranos;Técnico;Aproveitamento de Estudos;2026-91;20/09/2024;19/02/2026;
Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes;Técnico;Aproveitamento de Estudos;2026-91;21/10/2025;11/03/2026;
Solicitação de Aproveitamento de Estudos - Ingressantes;Técnico;Aproveitamento de Estudos;2026-91;21/10/2025;11/03/2026;
Prazo para análise de aproveitamento - Veteranos;Técnico;Aproveitamento de Estudos;2026-91;21/02/2026;21/02/2026;
Prazo para ajustes na secretaria - Aproveitamento - Veteranos;Técnico;Aproveitamento de Estudos;2026-91;24/02/2026;24/02/2026;
Prazo para análise de aproveitamento - Candidatos Ingressantes;Técnico;Aproveitamento de Estudos;2026-91;14/03/2026;14/03/2026;
Prazo para análise de aproveitamento - Ingressantes;Técnico;Aproveitamento de Estudos;2026-91;14/03/2026;14/03/2026;
Fechamento de Período e Rematrícula (módulo subsequente*);Técnico;Fechamento de Período e Rematrícula;2026-91;01/06/2026;05/06/2026;
Ação Rematrícula** (Ajustes DP/ADAP);Técnico;Fechamento de Período e Rematrícula;2026-91;08/06/2026;12/06/2026;
Liberação de base no Portal de Negociações (Cobrança);Técnico;Fechamento de Período e Rematrícula;2026-91;08/06/2026;08/06/2026;
Ação Rematrícula** (Alunos sem matrícula e adimplentes);Técnico;Fechamento de Período e Rematrícula;2026-91;15/06/2026;19/06/2026;
Lançamento de notas;Técnico;Lançamento de notas;2026-91;29/05/2026;29/05/2026;
Lançamento de notas - SUB;Técnico;Lançamento de notas;2026-91;29/06/2026;29/06/2026;
Processo de Evasão;Técnico;Outras rotinas;2026-91;;;
Abertura de turmas (rotina da Secretaria);Técnico;Outros serviços atendidos pela Secretaria;2026-91;;;
Solicitação de Alteração de matrizes;Técnico;Outros serviços atendidos pela Secretaria;2026-91;;;
Período de Captação;Técnico;Período letivo;2026-91;21/10/2025;16/03/2026;
Período letivo;Técnico;Período letivo;2026-91;23/02/2026;02/05/2026;
Desplug (Reativa);Técnico;Políticas Preditivas e de Retenção;2026-91;;;
Recomeço (Preditiva);Técnico;Políticas Preditivas e de Retenção;2026-91;;;
Recomeço (Reativa);Técnico;Políticas Preditivas e de Retenção;2026-91;;;
Redesplug (Preditiva);Técnico;Políticas Preditivas e de Retenção;2026-91;;;
Rematrícula automática do módulo;Técnico;Rematrícula automática;2026-91;01/12/2025;20/03/2026;
Prazo para negociação (entrada no módulo com boleto D+2);Técnico;Rematrícula automática;2026-91;16/03/2026;16/03/2026;
Solicitação de Mudança de Curso - Demais Cursos;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-91;15/10/2025;10/03/2026;
Solicitação de Reabertura de Matrícula - Inadimplentes;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-91;16/10/2025;11/03/2026;
Solicitação de Reabertura de Matrícula - Adimplentes;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-91;21/10/2025;16/03/2026;
Prazo para ajustes na secretaria - Reabertura;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-91;20/03/2026;20/03/2026;
Solicitação de Cancelamento de DP/ADAP;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-91;;;
Solicitação de Aproveitamento de Estudos - Veteranos;Técnico;Aproveitamento de Estudos;2026-92;20/02/2026;30/04/2026;
Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes;Técnico;Aproveitamento de Estudos;2026-92;17/03/2026;13/05/2026;
Solicitação de Aproveitamento de Estudos - Ingressantes;Técnico;Aproveitamento de Estudos;2026-92;17/03/2026;13/05/2026;
Prazo para análise de aproveitamento - Veteranos;Técnico;Aproveitamento de Estudos;2026-92;02/05/2026;02/05/2026;
Prazo para ajustes na secretaria - Aproveitamento - Veteranos;Técnico;Aproveitamento de Estudos;2026-92;05/05/2026;05/05/2026;
Prazo para análise de aproveitamento - Candidatos Ingressantes;Técnico;Aproveitamento de Estudos;2026-92;16/05/2026;16/05/2026;
Prazo para análise de aproveitamento - Ingressantes;Técnico;Aproveitamento de Estudos;2026-92;16/05/2026;16/05/2026;
Fechamento de Período e Rematrícula (módulo subsequente*);Técnico;Fechamento de Período e Rematrícula;2026-92;17/08/2026;21/08/2026;
Ação Rematrícula** (Ajustes DP/ADAP);Técnico;Fechamento de Período e Rematrícula;2026-92;24/08/2026;28/08/2026;
Liberação de base no Portal de Negociações (Cobrança);Técnico;Fechamento de Período e Rematrícula;2026-92;24/08/2026;24/08/2026;
Ação Rematrícula** (Alunos sem matrícula e adimplentes);Técnico;Fechamento de Período e Rematrícula;2026-92;30/08/2026;03/09/2026;
Lançamento de notas;Técnico;Lançamento de notas;2026-92;14/08/2026;14/08/2026;
Lançamento de notas - SUB;Técnico;Lançamento de notas;2026-92;14/09/2026;14/09/2026;
Processo de Evasão;Técnico;Outras rotinas;2026-92;;;
Solicitação de Alteração de matrizes;Técnico;Outros serviços atendidos pela Secretaria;2026-92;12/12/2025;12/12/2025;
Abertura de turmas (rotina da Secretaria);Técnico;Outros serviços atendidos pela Secretaria;2026-92;05/01/2026;05/01/2026;
Período de Captação;Técnico;Período letivo;2026-92;17/03/2026;18/05/2026;
Período letivo;Técnico;Período letivo;2026-92;04/05/2026;11/07/2026;
Desplug (Reativa);Técnico;Políticas Preditivas e de Retenção;2026-92;;;
Recomeço (Preditiva);Técnico;Políticas Preditivas e de Retenção;2026-92;;;
Recomeço (Reativa);Técnico;Políticas Preditivas e de Retenção;2026-92;;;
Redesplug (Preditiva);Técnico;Políticas Preditivas e de Retenção;2026-92;;;
Rematrícula automática do módulo;Técnico;Rematrícula automática;2026-92;01/02/2026;22/05/2026;
Prazo para negociação (entrada no módulo com boleto D+2);Técnico;Rematrícula automática;2026-92;18/05/2026;18/05/2026;
Solicitação de Mudança de Curso - Demais Cursos;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-92;11/03/2026;19/05/2026;
Solicitação de Reabertura de Matrícula - Adimplentes;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-92;17/03/2026;18/05/2026;
Solicitação de Reabertura de Matrícula - Inadimplentes;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-92;18/03/2026;13/05/2026;
Prazo para ajustes na secretaria - Reabertura;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-92;22/05/2026;22/05/2026;
Solicitação de Cancelamento de DP/ADAP;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-92;;;
Solicitação de Aproveitamento de Estudos - Veteranos;Técnico;Aproveitamento de Estudos;2026-93;01/05/2026;16/07/2026;
Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes;Técnico;Aproveitamento de Estudos;2026-93;19/05/2026;12/08/2026;
Solicitação de Aproveitamento de Estudos - Ingressantes;Técnico;Aproveitamento de Estudos;2026-93;19/05/2026;12/08/2026;
Prazo para análise de aproveitamento - Veteranos;Técnico;Aproveitamento de Estudos;2026-93;18/07/2026;18/07/2026;
Prazo para ajustes na secretaria - Aproveitamento - Veteranos;Técnico;Aproveitamento de Estudos;2026-93;21/07/2026;21/07/2026;
Prazo para análise de aproveitamento - Candidatos Ingressantes;Técnico;Aproveitamento de Estudos;2026-93;15/08/2026;15/08/2026;
Prazo para análise de aproveitamento - Ingressantes;Técnico;Aproveitamento de Estudos;2026-93;15/08/2026;15/08/2026;
Fechamento de Período e Rematrícula (módulo subsequente*);Técnico;Fechamento de Período e Rematrícula;2026-93;27/10/2026;02/11/2026;
Ação Rematrícula** (Ajustes DP/ADAP);Técnico;Fechamento de Período e Rematrícula;2026-93;03/11/2026;10/11/2026;
Liberação de base no Portal de Negociações (Cobrança);Técnico;Fechamento de Período e Rematrícula;2026-93;03/11/2026;03/11/2026;
Ação Rematrícula** (Alunos sem matrícula e adimplentes);Técnico;Fechamento de Período e Rematrícula;2026-93;11/11/2026;17/11/2026;
Lançamento de notas;Técnico;Lançamento de notas;2026-93;26/10/2026;26/10/2026;
Lançamento de notas - SUB;Técnico;Lançamento de notas;2026-93;23/11/2026;23/11/2026;
Processo de Evasão;Técnico;Outras rotinas;2026-93;;;
Solicitação de Alteração de matrizes;Técnico;Outros serviços atendidos pela Secretaria;2026-93;23/04/2026;23/04/2026;
Abertura de turmas (rotina da Secretaria);Técnico;Outros serviços atendidos pela Secretaria;2026-93;30/04/2026;30/04/2026;
Período de Captação;Técnico;Período letivo;2026-93;19/05/2026;17/08/2026;
Período letivo;Técnico;Período letivo;2026-93;20/07/2026;26/09/2026;
Desplug (Reativa);Técnico;Políticas Preditivas e de Retenção;2026-93;;;
Recomeço (Preditiva);Técnico;Políticas Preditivas e de Retenção;2026-93;;;
Recomeço (Reativa);Técnico;Políticas Preditivas e de Retenção;2026-93;;;
Redesplug (Preditiva);Técnico;Políticas Preditivas e de Retenção;2026-93;;;
Rematrícula automática do módulo;Técnico;Rematrícula automática;2026-93;06/06/2026;21/08/2026;
Prazo para negociação (entrada no módulo com boleto D+2);Técnico;Rematrícula automática;2026-93;17/08/2026;17/08/2026;
Solicitação de Reabertura de Matrícula - Adimplentes;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-93;19/05/2026;17/08/2026;
Solicitação de Mudança de Curso - Demais Cursos;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-93;20/05/2026;04/08/2026;
Solicitação de Reabertura de Matrícula - Inadimplentes;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-93;20/05/2026;12/08/2026;
Prazo para ajustes na secretaria - Reabertura;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-93;21/08/2026;21/08/2026;
Solicitação de Cancelamento de DP/ADAP;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-93;;;
Solicitação de Aproveitamento de Estudos - Veteranos;Técnico;Aproveitamento de Estudos;2026-94;17/07/2026;24/09/2026;
Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes;Técnico;Aproveitamento de Estudos;2026-94;18/08/2026;14/10/2026;
Solicitação de Aproveitamento de Estudos - Ingressantes;Técnico;Aproveitamento de Estudos;2026-94;18/08/2026;14/10/2026;
Prazo para análise de aproveitamento - Veteranos;Técnico;Aproveitamento de Estudos;2026-94;26/09/2026;26/09/2026;
Prazo para ajustes na secretaria - Aproveitamento - Veteranos;Técnico;Aproveitamento de Estudos;2026-94;29/09/2026;29/09/2026;
Prazo para análise de aproveitamento - Candidatos Ingressantes;Técnico;Aproveitamento de Estudos;2026-94;17/10/2026;17/10/2026;
Prazo para análise de aproveitamento - Ingressantes;Técnico;Aproveitamento de Estudos;2026-94;17/10/2026;17/10/2026;
Fechamento de Período e Rematrícula (módulo subsequente*);Técnico;Fechamento de Período e Rematrícula;2026-94;04/01/2027;08/01/2027;
Ação Rematrícula** (Ajustes DP/ADAP);Técnico;Fechamento de Período e Rematrícula;2026-94;11/01/2027;15/01/2027;
Liberação de base no Portal de Negociações (Cobrança);Técnico;Fechamento de Período e Rematrícula;2026-94;11/01/2027;11/01/2027;
Ação Rematrícula** (Alunos sem matrícula e adimplentes);Técnico;Fechamento de Período e Rematrícula;2026-94;18/01/2027;22/01/2027;
Lançamento de notas;Técnico;Lançamento de notas;2026-94;22/12/2026;22/12/2026;
Lançamento de notas - SUB;Técnico;Lançamento de notas;2026-94;08/02/2027;08/02/2027;
Processo de Evasão;Técnico;Outras rotinas;2026-94;;;
Solicitação de Alteração de matrizes;Técnico;Outros serviços atendidos pela Secretaria;2026-94;09/07/2026;09/07/2026;
Abertura de turmas (rotina da Secretaria);Técnico;Outros serviços atendidos pela Secretaria;2026-94;16/07/2026;16/07/2026;
Período de Captação;Técnico;Período letivo;2026-94;18/08/2026;19/10/2026;
Período letivo;Técnico;Período letivo;2026-94;28/09/2026;05/12/2026;
Desplug (Reativa);Técnico;Políticas Preditivas e de Retenção;2026-94;;;
Recomeço (Preditiva);Técnico;Políticas Preditivas e de Retenção;2026-94;;;
Recomeço (Reativa);Técnico;Políticas Preditivas e de Retenção;2026-94;;;
Redesplug (Preditiva);Técnico;Políticas Preditivas e de Retenção;2026-94;;;
Rematrícula automática do módulo;Técnico;Rematrícula automática;2026-94;22/08/2026;23/10/2026;
Prazo para negociação (entrada no módulo com boleto D+2);Técnico;Rematrícula automática;2026-94;19/10/2026;19/10/2026;
Solicitação de Mudança de Curso - Demais Cursos;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-94;05/08/2026;13/10/2026;
Solicitação de Reabertura de Matrícula - Inadimplentes;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-94;05/08/2026;14/10/2026;
Solicitação de Reabertura de Matrícula - Adimplentes;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-94;18/08/2026;19/10/2026;
Prazo para ajustes na secretaria - Reabertura;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-94;23/10/2026;23/10/2026;
Solicitação de Cancelamento de DP/ADAP;Técnico;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-94;;;
Solicitação de Aproveitamento de Estudos - Veteranos;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-81;20/09/2024;19/02/2026;
Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-81;21/10/2025;11/03/2026;
Solicitação de Aproveitamento de Estudos - Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-81;21/10/2025;11/03/2026;
Prazo para análise de aproveitamento - Veteranos;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-81;21/02/2026;21/02/2026;
Prazo para ajustes na secretaria - Aproveitamento - Veteranos;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-81;24/02/2026;24/02/2026;
Prazo para análise de aproveitamento - Candidatos Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-81;14/03/2026;14/03/2026;
Prazo para análise de aproveitamento - Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-81;14/03/2026;14/03/2026;
Fechamento de Período e Rematrícula (módulo subsequente*);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-81;01/06/2026;05/06/2026;
1º disparo de livros (módulo subsequente*);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-81;08/06/2026;08/06/2026;
Ação Rematrícula** (Ajustes DP/ADAP);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-81;08/06/2026;12/06/2026;
Liberação de base no Portal de Negociações (Cobrança);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-81;08/06/2026;08/06/2026;
Ação Rematrícula** (Alunos sem matrícula e adimplentes);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-81;15/06/2026;19/06/2026;
Lançamento de notas;Pós-graduação Híbrida;Lançamento de notas;2026-81;27/05/2026;27/05/2026;
Processo de Evasão;Pós-graduação Híbrida;Outras rotinas;2026-81;;;
Abertura de turmas (rotina da Secretaria);Pós-graduação Híbrida;Outros serviços atendidos pela Secretaria;2026-81;;;
Solicitação de Alteração de matrizes;Pós-graduação Híbrida;Outros serviços atendidos pela Secretaria;2026-81;;;
Período de Captação;Pós-graduação Híbrida;Período letivo;2026-81;21/10/2025;16/03/2026;
Período letivo;Pós-graduação Híbrida;Período letivo;2026-81;23/02/2026;03/05/2026;
Desplug (Reativa);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-81;;;
Recomeço (Preditiva);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-81;;;
Recomeço (Reativa);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-81;;;
Redesplug (Preditiva);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-81;;;
Rematrícula automática do módulo;Pós-graduação Híbrida;Rematrícula automática;2026-81;01/12/2025;20/03/2026;
Prazo para negociação (entrada no módulo com boleto D+2);Pós-graduação Híbrida;Rematrícula automática;2026-81;16/03/2026;16/03/2026;
Solicitação de Mudança de Curso - Demais Cursos;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-81;15/10/2025;10/03/2026;
Solicitação de Reabertura de Matrícula - Inadimplentes;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-81;16/10/2025;11/03/2026;
Solicitação de Reabertura de Matrícula - Adimplentes;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-81;21/10/2025;16/03/2026;
Prazo para ajustes na secretaria - Reabertura;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-81;20/03/2026;20/03/2026;
Solicitação de Cancelamento de DP/ADAP;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-81;;;
Solicitação de Aproveitamento de Estudos - Veteranos;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-82;20/02/2026;30/04/2026;
Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-82;17/03/2026;13/05/2026;
Solicitação de Aproveitamento de Estudos - Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-82;17/03/2026;13/05/2026;
Prazo para análise de aproveitamento - Veteranos;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-82;02/05/2026;02/05/2026;
Prazo para ajustes na secretaria - Aproveitamento - Veteranos;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-82;05/05/2026;05/05/2026;
Prazo para análise de aproveitamento - Candidatos Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-82;16/05/2026;16/05/2026;
Prazo para análise de aproveitamento - Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-82;16/05/2026;16/05/2026;
Fechamento de Período e Rematrícula (módulo subsequente*);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-82;17/08/2026;21/08/2026;
1º disparo de livros (módulo subsequente*);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-82;24/08/2026;24/08/2026;
Ação Rematrícula** (Ajustes DP/ADAP);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-82;24/08/2026;28/08/2026;
Liberação de base no Portal de Negociações (Cobrança);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-82;24/08/2026;24/08/2026;
Ação Rematrícula** (Alunos sem matrícula e adimplentes);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-82;30/08/2026;03/09/2026;
Lançamento de notas;Pós-graduação Híbrida;Lançamento de notas;2026-82;12/08/2026;12/08/2026;
Processo de Evasão;Pós-graduação Híbrida;Outras rotinas;2026-82;;;
Solicitação de Alteração de matrizes;Pós-graduação Híbrida;Outros serviços atendidos pela Secretaria;2026-82;12/12/2025;12/12/2025;
Abertura de turmas (rotina da Secretaria);Pós-graduação Híbrida;Outros serviços atendidos pela Secretaria;2026-82;05/01/2026;05/01/2026;
Período de Captação;Pós-graduação Híbrida;Período letivo;2026-82;17/03/2026;18/05/2026;
Período letivo;Pós-graduação Híbrida;Período letivo;2026-82;04/05/2026;12/07/2026;
Desplug (Reativa);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-82;;;
Recomeço (Preditiva);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-82;;;
Recomeço (Reativa);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-82;;;
Redesplug (Preditiva);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-82;;;
Rematrícula automática do módulo;Pós-graduação Híbrida;Rematrícula automática;2026-82;01/02/2026;22/05/2026;
Prazo para negociação (entrada no módulo com boleto D+2);Pós-graduação Híbrida;Rematrícula automática;2026-82;18/05/2026;18/05/2026;
Solicitação de Mudança de Curso - Demais Cursos;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-82;11/03/2026;19/05/2026;
Solicitação de Reabertura de Matrícula - Adimplentes;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-82;17/03/2026;18/05/2026;
Solicitação de Reabertura de Matrícula - Inadimplentes;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-82;18/03/2026;13/05/2026;
Prazo para ajustes na secretaria - Reabertura;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-82;22/05/2026;22/05/2026;
Solicitação de Cancelamento de DP/ADAP;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-82;;;
Solicitação de Aproveitamento de Estudos - Veteranos;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-83;01/05/2026;16/07/2026;
Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-83;19/05/2026;12/08/2026;
Solicitação de Aproveitamento de Estudos - Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-83;19/05/2026;12/08/2026;
Prazo para análise de aproveitamento - Veteranos;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-83;18/07/2026;18/07/2026;
Prazo para ajustes na secretaria - Aproveitamento - Veteranos;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-83;21/07/2026;21/07/2026;
Prazo para análise de aproveitamento - Candidatos Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-83;15/08/2026;15/08/2026;
Prazo para análise de aproveitamento - Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-83;15/08/2026;15/08/2026;
Fechamento de Período e Rematrícula (módulo subsequente*);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-83;27/10/2026;02/11/2026;
1º disparo de livros (módulo subsequente*);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-83;03/11/2026;03/11/2026;
Ação Rematrícula** (Ajustes DP/ADAP);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-83;03/11/2026;10/11/2026;
Liberação de base no Portal de Negociações (Cobrança);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-83;03/11/2026;03/11/2026;
Ação Rematrícula** (Alunos sem matrícula e adimplentes);Pós-graduação Híbrida;Fechamento de Período e Rematrícula;2026-83;11/11/2026;17/11/2026;
Lançamento de notas;Pós-graduação Híbrida;Lançamento de notas;2026-83;24/10/2026;24/10/2026;
Processo de Evasão;Pós-graduação Híbrida;Outras rotinas;2026-83;;;
Solicitação de Alteração de matrizes;Pós-graduação Híbrida;Outros serviços atendidos pela Secretaria;2026-83;23/04/2026;23/04/2026;
Abertura de turmas (rotina da Secretaria);Pós-graduação Híbrida;Outros serviços atendidos pela Secretaria;2026-83;30/04/2026;30/04/2026;
Período de Captação;Pós-graduação Híbrida;Período letivo;2026-83;19/05/2026;17/08/2026;
Período letivo;Pós-graduação Híbrida;Período letivo;2026-83;20/07/2026;20/09/2026;
Desplug (Reativa);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-83;;;
Recomeço (Preditiva);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-83;;;
Recomeço (Reativa);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-83;;;
Redesplug (Preditiva);Pós-graduação Híbrida;Políticas Preditivas e de Retenção;2026-83;;;
Rematrícula automática do módulo;Pós-graduação Híbrida;Rematrícula automática;2026-83;06/06/2026;21/08/2026;
Prazo para negociação (entrada no módulo com boleto D+2);Pós-graduação Híbrida;Rematrícula automática;2026-83;17/08/2026;17/08/2026;
Solicitação de Reabertura de Matrícula - Adimplentes;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-83;19/05/2026;17/08/2026;
Solicitação de Mudança de Curso - Demais Cursos;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-83;20/05/2026;04/08/2026;
Solicitação de Reabertura de Matrícula - Inadimplentes;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-83;20/05/2026;12/08/2026;
Prazo para ajustes na secretaria - Reabertura;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-83;21/08/2026;21/08/2026;
Solicitação de Cancelamento de DP/ADAP;Pós-graduação Híbrida;Serviços atendidos pelo CSC - Secretaria e Financeiro;2026-83;;;
Solicitação de Aproveitamento de Estudos - Veteranos;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-84;17/07/2026;24/09/2026;
Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes;Pós-graduação Híbrida;Aproveitamento de Estudos;2026-84;18/08/2026;14/10/2026;
